key,value,date
CHEMBL1697748,0,2019-10-01
CHEMBL15594,0,2019-10-01
CHEMBL1657,0,2019-10-01
CHEMBL2218919,0,2019-10-01
CHEMBL4297204,0,2019-10-01
CHEMBL444814,0,2019-10-01
CHEMBL416956,0,2019-10-01
CHEMBL413,0,2019-10-01
CHEMBL2107825,0,2019-10-01
CHEMBL1762621,0,2019-10-01
CHEMBL1088752,0,2019-10-01
CHEMBL108,0,2019-10-01
CHEMBL1161,0,2019-10-01
CHEMBL354077,0,2019-10-01
CHEMBL267476,0,2019-10-01
CHEMBL1464,0,2019-10-01
CHEMBL1201225,0,2019-10-01
CHEMBL449317,0,2019-10-01
CHEMBL494,0,2019-10-01
CHEMBL361497,0,2019-10-01
CHEMBL54126,0,2019-10-01
CHEMBL1334078,0,2019-10-01
CHEMBL313006,0,2019-10-01
CHEMBL705,0,2019-10-01
CHEMBL39,0,2019-10-01
CHEMBL729,0,2019-10-01
CHEMBL2021423,0,2019-10-01
CHEMBL1356607,0,2019-10-01
CHEMBL4297406,0,2019-10-01
CHEMBL314854,0,2019-10-01
CHEMBL203266,0,2019-10-01
CHEMBL1491,0,2019-10-01
CHEMBL1162144,0,2019-10-01
CHEMBL222813,0,2019-10-01
CHEMBL192,0,2019-10-01
CHEMBL1240772,0,2019-10-01
CHEMBL70,0,2019-10-01
CHEMBL302239,0,2019-10-01
CHEMBL19449,0,2019-10-01
CHEMBL1014,0,2019-10-01
CHEMBL2221249,0,2019-10-01
CHEMBL4298150,0,2019-10-01
CHEMBL250447,0,2019-10-01
CHEMBL2105897,0,2019-10-01
CHEMBL2138684,0,2019-10-01
CHEMBL1646,0,2019-10-01
CHEMBL224128,0,2019-10-01
CHEMBL111861,0,2019-10-01
CHEMBL443,0,2019-10-01
CHEMBL8085,0,2019-10-01
CHEMBL305187,0,2019-10-01
CHEMBL4297866,0,2019-10-01
CHEMBL575,0,2019-10-01
CHEMBL51085,0,2019-10-01
CHEMBL273453,0,2019-10-01
CHEMBL54943,0,2019-10-01
CHEMBL1231871,0,2019-10-01
CHEMBL57,0,2019-10-01
CHEMBL1200689,0,2019-10-01
CHEMBL19019,0,2019-10-01
CHEMBL3989740,0,2019-10-01
CHEMBL426,0,2019-10-01
CHEMBL65061,0,2019-10-01
CHEMBL1201290,0,2019-10-01
CHEMBL1200637,0,2019-10-01
CHEMBL2110621,0,2019-10-01
CHEMBL932,0,2019-10-01
CHEMBL317052,0,2019-10-01
CHEMBL1201013,0,2019-10-01
CHEMBL250892,0,2019-10-01
CHEMBL1201081,0,2019-10-01
CHEMBL652,0,2019-10-01
CHEMBL3833315,0,2019-10-01
CHEMBL2105759,0,2019-10-01
CHEMBL2219413,0,2019-10-01
CHEMBL54922,0,2019-10-01
CHEMBL71595,0,2019-10-01
CHEMBL256105,0,2019-10-01
CHEMBL1543,0,2019-10-01
CHEMBL165,0,2019-10-01
CHEMBL1352,0,2019-10-01
CHEMBL160,0,2019-10-01
CHEMBL1393,0,2019-10-01
CHEMBL1556,0,2019-10-01
CHEMBL1201173,0,2019-10-01
CHEMBL2364573,0,2019-10-01
CHEMBL1184,0,2019-10-01
